,,accuracy,accuracy,precision,precision,recall,recall,f1,f1,roc_auc,roc_auc
,,mean,std,mean,std,mean,std,mean,std,mean,std
model,split,,,,,,,,,,
decision_tree,train,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
decision_tree,val,0.760976707413489,0.07501331163404389,0.6046378579168995,0.13589098143329423,0.6285913746226743,0.13313355426553317,0.6122303312069287,0.11946110888494307,0.7249141970982368,0.0873799704937528
dummy_baseline,train,0.693935848289217,0.014098702780774124,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
dummy_baseline,val,0.693905005169373,0.05642081680348596,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
gradient_boosting,train,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
gradient_boosting,val,0.8802396156419144,0.041991637449037104,0.8110561883464834,0.10748174196356998,0.8065896874515419,0.07135765087518393,0.8040803090824129,0.059093851188561905,0.9430163535295322,0.014333063469584182
logistic_regression,train,0.930631409935381,0.005780842541168919,0.8582762092508943,0.013821030709297083,0.9262010938486425,0.010231822070768443,0.8908866274033789,0.009358590859262774,0.9791188265536868,0.0026712656270260777
logistic_regression,val,0.8511427355105516,0.03243778340813759,0.7292124348642075,0.07972372933382556,0.8165985185274602,0.06958982597407991,0.7673591501618395,0.05516621416472539,0.9182951635905455,0.02831827753570226
random_forest,train,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
random_forest,val,0.8984783798576903,0.025295275003692927,0.8886944847913025,0.0850607688857297,0.7671243793055502,0.08898785303961876,0.8181611650988356,0.0490886922539349,0.9503718684611696,0.018304775075385093
xgboost,train,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
xgboost,val,0.8629872894240711,0.03237421668325276,0.7868899131207462,0.10243872667306417,0.7749296094681274,0.06409614184134448,0.7748899778884843,0.04017689758008401,0.9278303690661908,0.025108252341352073
